Title	Year	Rating	Runtime	Tomato Meter	Box Office
Speed Racer	2008	PG	135 min	39	$43.9M
What Happens in Vegas	2008	PG-13	99 min	27	$80.2M
Where in the World Is Osama Bin Laden?	2008	PG-13	90 min	38	$0.3M
Redbelt	2008	R	99 min	68	$2.3M
The Chronicles of Narnia: Prince Caspian	2008	PG	150 min	67	$141.6M
Indiana Jones and the Kingdom of the Crystal Skull	2008	PG-13	122 min	78	$317.0M
Sex and the City	2008	R	145 min	49	$152.6M
The Strangers	2008	R	86 min	45	$52.5M
Kung Fu Panda	2008	PG	92 min	87	$215.4M
You Don't Mess with the Zohan	2008	PG-13	113 min	38	$100.0M
Waltz with Bashir	2008	R	90 min	96	$2.1M
The Children of Huang Shi	2008	R	125 min	30	$0.7M
The Promotion	2008	R	86 min	53	$0.4M
The Happening	2008	R	91 min	17	$64.5M
The Incredible Hulk	2008	PG-13	112 min	67	$134.5M
"War, Inc."	2008	R	107 min	30	$0.5M
The Love Guru	2008	PG-13	87 min	14	$32.2M
Get Smart	2008	PG-13	110 min	51	$130.2M
Wanted	2008	R	110 min	72	$134.3M
WALL·E	2008	G	98 min	96	$223.7M
Kit Kittredge: An American Girl	2008	G	101 min	79	$17.5M
Hancock	2008	PG-13	92 min	41	$227.9M
CSNY/Déjà Vu	2008	R	96 min	68	$32.9k
Journey to the Center of the Earth	2008	PG	93 min	61	$101.7M
Hellboy II: The Golden Army	2008	PG-13	120 min	86	$75.8M
Meet Dave	2008	PG	90 min	20	$11.6M
Outlander	2008	R	115 min	37	$59.6k
Fireflies in the Garden	2008	R	120 min	20	$36.9k
Gonzo: The Life and Work of Dr. Hunter S. Thompson	2008	R	120 min	86	$1.0M
The Dark Knight	2008	PG-13	152 min	94	$533.3M
Mamma Mia!	2008	PG-13	108 min	54	$143.7M
Space Chimps	2008	G	81 min	34	$29.9M
Step Brothers	2008	R	98 min	55	$100.5M
The X Files: I Want to Believe	2008	PG-13	104 min	31	$20.8M
The Wackness	2008	R	99 min	69	$2.0M
Swing Vote	2008	PG-13	120 min	38	$16.2M
The Mummy: Tomb of the Dragon Emperor	2008	PG-13	112 min	13	$101.6M
The Sisterhood of the Traveling Pants 2	2008	PG-13	117 min	65	$44.0M
The Midnight Meat Train	2008	R	100 min	71	$34.4k
Beer for My Horses	2008	PG-13	86 min	0	$0.6M
Tropic Thunder	2008	R	107 min	83	$110.4M
Star Wars: The Clone Wars	2008	PG	98 min	18	$35.1M
Mirrors	2008	R	110 min	14	$30.6M
Vicky Cristina Barcelona	2008	PG-13	96 min	81	$23.2M
American Teen	2008	PG-13	95 min	69	$0.8M
Henry Poole Is Here	2008	PG	99 min	39	$1.7M
The Rocker	2008	PG-13	102 min	41	$6.3M
The Longshots	2008	PG	94 min	41	$11.4M
Death Race	2008	R	105 min	43	$36.1M
The House Bunny	2008	PG-13	97 min	42	$48.2M
Traitor	2008	PG-13	114 min	64	$23.5M
Hamlet 2	2008	R	92 min	62	$4.8M
College	2008	R	94 min	5	$4.6M
Elegy	2008	R	112 min	75	$3.5M
Man on Wire	2008	PG-13	94 min	100	$2.6M
Fly Me to the Moon 3D	2008	G	84 min	19	$13.6M
Disaster Movie	2008	PG-13	87 min	1	$14.2M
Bottle Shock	2008	PG-13	110 min	48	$3.9M
Frozen River	2008	R	97 min	88	$2.1M
Bangkok Dangerous	2008	R	99 min	9	$15.2M
The Women	2008	PG-13	114 min	13	$26.8M
The Family That Preys	2008	PG-13	111 min	51	$37.0M
Righteous Kill	2008	R	101 min	19	$40.0M
Burn After Reading	2008	R	96 min	78	$60.3M
Igor	2008	PG	87 min	36	$19.4M
My Best Friend's Girl	2008	R	101 min	14	$19.2M
Ghost Town	2008	PG-13	102 min	85	$13.2M
Lakeview Terrace	2008	PG-13	110 min	45	$39.3M
Eagle Eye	2008	PG-13	118 min	26	$101.1M
Fireproof	2008	PG	122 min	40	$33.5M
Nights in Rodanthe	2008	PG-13	97 min	30	$41.8M
Choke	2008	R	92 min	54	$2.8M
Forever Strong	2008	PG-13	112 min	29	$0.5M
Miracle at St. Anna	2008	R	160 min	34	$7.8M
The Lucky Ones	2008	R	115 min	37	$0.2M
Appaloosa	2008	R	115 min	77	$20.2M
Flash of Genius	2008	PG-13	119 min	59	$4.2M
Beverly Hills Chihuahua	2008	PG	91 min	41	$94.5M
Religulous	2008	R	101 min	70	$13.0M
An American Carol	2008	PG-13	83 min	11	$7.0M
Nick and Norah's Infinite Playlist	2008	PG-13	90 min	74	$31.5M
The Duchess	2008	PG-13	110 min	61	$13.8M
Quarantine	2008	R	89 min	58	$31.7M
The Express	2008	PG	130 min	61	$9.6M
Body of Lies	2008	R	128 min	54	$39.4M
City of Ember	2008	PG	90 min	53	$7.8M
Billy: The Early Years	2008	PG	98 min	0	$0.3M
The Secret Life of Bees	2008	PG-13	114 min	58	$37.7M
W.	2008	PG-13	129 min	59	$25.5M
Sex Drive	2008	R	109 min	45	$8.4M
Max Payne	2008	PG-13	100 min	16	$40.6M
Passengers	2008	PG-13	93 min	20	$0.3M
Noah's Arc: Jumping the Broom	2008	R	101 min	50	$0.4M
Pride and Glory	2008	R	130 min	35	$15.7M
Roadside Romeo	2008	PG	93 min	0	$41.8k
Saw V	2008	R	92 min	12	$56.7M
High School Musical 3: Senior Year	2008	G	112 min	65	$90.5M
Changeling	2008	R	141 min	62	$35.7M
RocknRolla	2008	R	114 min	59	$5.7M
What Just Happened	2008	R	104 min	51	$1.0M
The Haunting of Molly Hartley	2008	PG-13	82 min	3	$13.4M
Zack and Miri Make a Porno	2008	R	101 min	65	$31.4M
Role Models	2008	R	99 min	78	$67.3M
House	2008	R	88 min	0	$0.5M
Rachel Getting Married	2008	R	113 min	85	$12.7M
Soul Men	2008	R	100 min	45	$12.0M
Madagascar: Escape 2 Africa	2008	PG	89 min	64	$180.0M
Quantum of Solace	2008	PG-13	106 min	65	$168.4M
I.O.U.S.A.	2008	PG	85 min	88	$0.6M
"Synecdoche, New York"	2008	R	124 min	68	$3.0M
Twilight	2008	PG-13	122 min	48	$191.4M
Bolt	2008	PG	96 min	89	$114.1M
Four Christmases	2008	PG-13	88 min	25	$120.1M
The Boy in the Striped Pajamas	2008	PG-13	94 min	63	$9.0M
Transporter 3	2008	PG-13	104 min	37	$31.3M
Australia	2008	PG-13	165 min	55	$49.4M
Punisher: War Zone	2008	R	103 min	27	$7.9M
Cadillac Records	2008	R	109 min	67	$8.1M
Sleep Dealer	2008	PG-13	90 min	69	$35.0k
The Day the Earth Stood Still	2008	PG-13	104 min	21	$79.1M
Nothing Like the Holidays	2008	PG-13	98 min	52	$7.5M
Delgo	2008	PG	94 min	12	$0.5M
Seven Pounds	2008	PG-13	123 min	27	$70.0M
The Tale of Despereaux	2008	G	93 min	56	$50.8M
Yes Man	2008	PG-13	104 min	46	$97.6M
Free Style	2008	PG	94 min	29	$97.8k
Bedtime Stories	2008	PG	99 min	25	$110.0M
The Curious Case of Benjamin Button	2008	PG-13	166 min	73	$127.5M
Slumdog Millionaire	2008	R	120 min	92	$141.2M
The Spirit	2008	PG-13	103 min	14	$19.8M
Valkyrie	2008	PG-13	121 min	62	$83.0M
Doubt	2008	PG-13	104 min	78	$33.4M
Marley & Me	2008	PG	115 min	63	$143.1M
Gran Torino	2008	R	116 min	79	$148.1M
Last Chance Harvey	2008	PG-13	93 min	70	$14.8M
Defiance	2008	R	137 min	57	$28.6M
Hell Ride	2008	R	84 min	10	$0.2M
Frost/Nixon	2008	R	122 min	92	$18.6M
Inkheart	2008	PG	106 min	38	$17.3M
Revolutionary Road	2008	R	119 min	67	$22.9M
The Reader	2008	R	124 min	61	$34.1M
Milk	2008	R	128 min	94	$31.7M
The Wrestler	2008	R	109 min	98	$26.1M
The Other End of the Line	2008	PG-13	106 min	37	$59.1k
Wendy and Lucy	2008	R	80 min	85	$0.7M
Morning Light	2008	PG	97 min	33	$0.1M
Two Lovers	2008	R	110 min	82	$3.0M
The Great Buck Howard	2008	PG	90 min	72	$0.6M
Sunshine Cleaning	2008	R	91 min	72	$12.0M
American Violet	2008	PG-13	103 min	74	$0.5M
Sugar	2008	R	114 min	92	$1.0M
Valentino: The Last Emperor	2008	PG-13	96 min	77	$1.6M
Management	2008	R	94 min	46	$0.8M
Rudo y Cursi	2008	R	103 min	73	$1.7M
Tyson	2008	R	90 min	85	$0.8M
Soul Power	2008	PG-13	92 min	85	$23.9k
Every Little Step	2008	PG-13	96 min	92	$1.5M
The Brothers Bloom	2008	PG-13	114 min	66	$3.5M
The Hurt Locker	2008	R	131 min	98	$15.7M
"Food, Inc."	2008	PG	94 min	96	$4.2M
Goodbye Solo	2008	R	91 min	94	$0.8M
It Might Get Loud	2008	PG	98 min	80	$1.2M
The Secrets of Jonathan Sperry	2008	PG	96 min	0	$1.1M
The Stoning of Soraya M.	2008	R	114 min	57	$0.5M
The Loss of a Teardrop Diamond	2008	PG-13	102 min	26	$94.5k
More Than a Game	2008	PG	105 min	71	$0.9M
"New York, I Love You"	2008	R	103 min	36	$1.6M
The Burning Plain	2008	R	107 min	35	$58.7k
The Yellow Handkerchief	2008	PG-13	102 min	67	$0.2M
The Merry Gentleman	2008	R	110 min	63	$0.3M
Me and Orson Welles	2008	PG-13	114 min	85	$1.1M
"Lovely, Still"	2008	PG	92 min	71	$0.1M
Youssou Ndour: I Bring What I Love	2008	PG	102 min	83	$32.6k
Finding Amanda	2008	R	96 min	40	$31.3k
The Wrecking Crew	2008	PG	101 min	92	$0.8M
Street Dreams	2009	R	88 min	0	$84.9k
Alien Trespass	2009	PG	90 min	35	$43.4k
The Unborn	2009	PG-13	88 min	10	$42.6M
Bride Wars	2009	PG	89 min	10	$58.6M
Not Easily Broken	2009	PG-13	99 min	33	$10.6M
My Bloody Valentine	2009	R	101 min	57	$51.5M
Paul Blart: Mall Cop	2009	PG	91 min	33	$146.3M
Chandni Chowk to China	2009	PG-13	154 min	44	$0.9M
Hotel for Dogs	2009	PG	100 min	45	$73.0M
Notorious	2009	R	122 min	51	$36.7M
The Slammin' Salmon	2009	R	90 min	35	$26.2k
La mission	2009	R	117 min	48	$1.1M
Underworld: Rise of the Lycans	2009	R	92 min	29	$45.8M
The Uninvited	2009	PG-13	87 min	32	$28.6M
New in Town	2009	PG	97 min	29	$16.7M
Push	2009	PG-13	111 min	23	$31.7M
Coraline	2009	PG	100 min	90	$75.2M
He's Just Not That Into You	2009	PG-13	129 min	40	$93.9M
The Pink Panther 2	2009	PG	92 min	12	$35.9M
Friday the 13th	2009	R	97 min	25	$65.0M
The International	2009	R	118 min	59	$25.5M
Confessions of a Shopaholic	2009	PG	104 min	25	$44.2M
Under the Sea 3D	2009	G	40 min	94	$34.6M
Fanboys	2009	PG-13	90 min	32	$0.5M
Fired Up!	2009	PG-13	90 min	24	$16.8M
Madea Goes to Jail	2009	PG-13	103 min	29	$90.5M
Crossing Over	2009	R	113 min	16	$0.4M
Echelon Conspiracy	2009	PG-13	105 min	0	$0.5M
Street Fighter: The Legend of Chun-Li	2009	PG-13	96 min	18	$8.6M
Jonas Brothers: The 3D Concert Experience	2009	G	76 min	24	$19.0M
Watchmen	2009	R	162 min	65	$107.5M
Race to Witch Mountain	2009	PG	98 min	43	$67.1M
The Last House on the Left	2009	R	110 min	41	$32.7M
Miss March	2009	R	90 min	5	$4.5M
Brothers at War	2009	R	110 min	68	$33.1k
That Evening Sun	2009	PG-13	109 min	81	$83.8k
"I Love You, Man"	2009	R	105 min	84	$71.3M
Duplicity	2009	PG-13	125 min	64	$40.6M
Knowing	2009	PG-13	121 min	33	$79.9M
The Cross	2009	PG	90 min	18	$0.6M
12 Rounds	2009	PG-13	108 min	29	$12.2M
Monsters vs. Aliens	2009	PG	94 min	72	$198.3M
The Haunting in Connecticut	2009	PG-13	92 min	17	$55.3M
Fast & Furious	2009	PG-13	107 min	28	$155.0M
Adventureland	2009	R	107 min	88	$16.0M
Dragonball: Evolution	2009	PG	85 min	14	$9.4M
Observe and Report	2009	R	86 min	51	$24.0M
Hannah Montana: The Movie	2009	G	102 min	44	$79.5M
17 Again	2009	PG-13	102 min	55	$64.1M
State of Play	2009	PG-13	127 min	84	$37.0M
Crank: High Voltage	2009	R	96 min	63	$13.6M
Sin Nombre	2009	R	96 min	89	$2.4M
Fighting	2009	PG-13	105 min	39	$23.0M
Obsessed	2009	PG-13	108 min	19	$68.3M
Outrage	2009	R	90 min	78	$0.2M
The Soloist	2009	PG-13	117 min	56	$31.7M
X-Men Origins: Wolverine	2009	PG-13	107 min	38	$179.7M
Ghosts of Girlfriends Past	2009	PG-13	100 min	27	$55.2M
Star Trek	2009	PG-13	127 min	95	$257.7M
Next Day Air	2009	R	84 min	21	$10.0M
Angels & Demons	2009	PG-13	138 min	37	$133.4M
Terminator Salvation	2009	PG-13	115 min	33	$125.3M
Dance Flick	2009	PG-13	83 min	18	$25.6M
Night at the Museum: Battle of the Smithsonian	2009	PG	105 min	44	$177.1M
Drag Me to Hell	2009	PG-13	99 min	92	$42.1M
Up	2009	PG	96 min	98	$293.0M
Land of the Lost	2009	PG-13	102 min	26	$49.4M
My Life in Ruins	2009	PG-13	95 min	9	$8.5M
The Hangover	2009	R	100 min	79	$277.3M
Saint John of Las Vegas	2009	R	85 min	24	$72.2k
Imagine That	2009	PG	107 min	40	$16.1M
The Taking of Pelham 1 2 3	2009	R	106 min	51	$65.5M
Amreeka	2009	PG-13	96 min	87	$0.4M
Year One	2009	PG-13	97 min	15	$43.3M
The Proposal	2009	PG-13	108 min	44	$163.9M
Transformers: Revenge of the Fallen	2009	PG-13	150 min	19	$402.1M
Tetro	2009	R	127 min	71	$0.3M
Away We Go	2009	R	98 min	67	$9.4M
My Sister's Keeper	2009	PG-13	109 min	48	$49.1M
Ice Age: Dawn of the Dinosaurs	2009	PG	94 min	45	$196.6M
Public Enemies	2009	R	140 min	68	$97.0M
Whatever Works	2009	PG-13	92 min	49	$5.2M
Spread	2009	R	97 min	21	$0.1M
The Girlfriend Experience	2009	R	77 min	66	$0.6M
"I Love You, Beth Cooper"	2009	PG-13	102 min	14	$141.2M
Brüno	2009	R	81 min	68	$60.0M
Harry Potter and the Half-Blood Prince	2009	PG	153 min	84	$301.9M
G-Force	2009	PG	88 min	22	$119.4M
The Ugly Truth	2009	R	96 min	13	$88.9M
Orphan	2009	R	123 min	55	$41.5M
Funny People	2009	R	146 min	68	$51.8M
Aliens in the Attic	2009	PG	86 min	31	$25.0M
The Collector	2009	R	90 min	30	$7.7M
Shrink	2009	R	104 min	29	$93.2k
Julie & Julia	2009	PG-13	123 min	75	$94.1M
(500) Days of Summer	2009	PG-13	95 min	86	$32.1M
A Perfect Getaway	2009	R	98 min	61	$15.5M
G.I. Joe: The Rise of Cobra	2009	PG-13	118 min	35	$150.2M
The Cove	2009	PG-13	92 min	94	$0.6M
District 9	2009	R	112 min	90	$115.6M
"The Goods: Live Hard, Sell Hard"	2009	R	89 min	27	$15.0M
Bandslam	2009	PG	111 min	81	$5.2M
The Time Traveler's Wife	2009	PG-13	107 min	38	$63.4M
X Games 3D: The Movie	2009	PG	92 min	40	$0.8M
Shorts	2009	PG	89 min	45	$20.9M
Inglourious Basterds	2009	R	153 min	89	$120.5M
Post Grad	2009	PG-13	88 min	8	$6.3M
Halloween II	2009	R	105 min	19	$33.3M
Paper Heart	2009	PG-13	88 min	58	$1.1M
Play the Game	2009	PG-13	105 min	27	$0.5M
The Final Destination	2009	R	82 min	29	$66.4M
Motherhood	2009	PG-13	90 min	20	$50.1k
Taking Woodstock	2009	R	120 min	47	$7.4M
Adam	2009	PG-13	99 min	64	$2.1M
Carriers	2009	PG-13	84 min	63	$90.8k
Extract	2009	R	92 min	63	$10.6M
All About Steve	2009	PG-13	99 min	7	$33.8M
Gamer	2009	R	95 min	28	$20.5M
9	2009	PG-13	79 min	56	$31.7M
I Can Do Bad All by Myself	2009	PG-13	113 min	63	$51.7M
Sorority Row	2009	R	101 min	22	$11.9M
Whiteout	2009	R	101 min	7	$10.2M
Humpday	2009	R	94 min	79	$0.3M
Love Happens	2009	PG-13	109 min	16	$22.9M
Jennifer's Body	2009	R	102 min	42	$16.0M
Cloudy with a Chance of Meatballs	2009	PG	90 min	87	$124.9M
The Informant!	2009	R	108 min	79	$33.3M
The Limits of Control	2009	R	116 min	44	$0.4M
I Hope They Serve Beer in Hell	2009	R	105 min	20	$1.4M
Fame	2009	PG	107 min	25	$22.4M
Surrogates	2009	PG-13	89 min	39	$38.5M
The September Issue	2009	PG-13	90 min	83	$3.7M
My One and Only	2009	PG-13	108 min	68	$2.3M
Capitalism: A Love Story	2009	R	127 min	75	$14.3M
The Invention of Lying	2009	PG-13	100 min	58	$18.4M
Whip It	2009	PG-13	111 min	84	$13.0M
Zombieland	2009	R	88 min	90	$75.6M
Couples Retreat	2009	PG-13	113 min	11	$109.2M
From Mexico with Love	2009	PG-13	96 min	0	$0.5M
Law Abiding Citizen	2009	R	109 min	25	$73.3M
The Stepfather	2009	PG-13	101 min	11	$29.1M
Where the Wild Things Are	2009	PG	101 min	73	$77.2M
Astro Boy	2009	PG	94 min	49	$19.5M
Amelia	2009	PG	111 min	20	$14.2M
Cirque du Freak: The Vampire's Assistant	2009	PG-13	109 min	38	$13.8M
Good Hair	2009	PG-13	96 min	95	$4.1M
Saw VI	2009	R	90 min	36	$27.7M
This Is It	2009	PG	111 min	81	$71.8M
A Christmas Carol	2009	PG	96 min	54	$137.8M
A Serious Man	2009	R	106 min	89	$9.2M
The Men Who Stare at Goats	2009	R	94 min	52	$32.4M
The Fourth Kind	2009	PG-13	98 min	19	$25.5M
The Box	2009	PG-13	115 min	45	$114.9M
Today's Special	2009	R	99 min	81	$0.3M
2012	2009	PG-13	158 min	39	$166.1M
Planet 51	2009	PG	91 min	21	$42.2M
The Blind Side	2009	PG-13	129 min	66	$255.5M
Precious	2009	R	110 min	91	$47.5M
The Twilight Saga: New Moon	2009	PG-13	130 min	28	$296.6M
Old Dogs	2009	PG	88 min	5	$49.5M
Fantastic Mr. Fox	2009	PG	87 min	92	$20.9M
Ninja Assassin	2009	R	99 min	26	$38.1M
Armored	2009	PG-13	88 min	40	$16.0M
Everybody's Fine	2009	PG-13	99 min	46	$8.9M
The Messenger	2009	R	113 min	90	$1.0M
Brothers	2009	R	105 min	63	$28.5M
The Boondock Saints II: All Saints Day	2009	R	118 min	23	$10.2M
Invictus	2009	PG-13	134 min	76	$37.4M
Bad Lieutenant: Port of Call New Orleans	2009	R	122 min	87	$1.6M
The Princess and the Frog	2009	G	97 min	85	$104.4M
Did You Hear About the Morgans?	2009	PG-13	103 min	12	$29.6M
Avatar	2009	PG-13	162 min	83	$760.5M
The Road	2009	R	111 min	75	$8.0M
Alvin and the Chipmunks: The Squeakquel	2009	PG	88 min	21	$219.3M
Up in the Air	2009	R	109 min	91	$83.8M
Nine	2009	PG-13	118 min	37	$19.6M
It's Complicated	2009	R	120 min	57	$112.7M
Sherlock Holmes	2009	PG-13	128 min	70	$208.7M
The Young Victoria	2009	PG	105 min	76	$10.9M
Daybreakers	2009	R	98 min	67	$30.0M
Youth in Revolt	2009	R	90 min	66	$15.2M
Black Dynamite	2009	R	84 min	85	$0.1M
The Lovely Bones	2009	PG-13	135 min	31	$44.0M
To Save a Life	2009	PG-13	120 min	33	$3.7M
An Education	2009	PG-13	100 min	94	$12.5M
Crazy Heart	2009	R	112 min	91	$38.3M
A Single Man	2009	R	99 min	85	$9.1M
The Good Guy	2009	R	90 min	35	$34.7k
Brooklyn's Finest	2009	R	132 min	43	$26.7M
Ondine	2009	PG-13	111 min	70	$0.5M
Chloe	2009	R	96 min	51	$1.8M
Life During Wartime	2009	R	98 min	69	$0.3M
The Perfect Game	2009	PG	118 min	57	$1.0M
Oceans	2009	G	84 min	81	$19.0M
The Joneses	2009	R	96 min	62	$1.0M
City Island	2009	PG-13	104 min	81	$6.7M
Cold Souls	2009	PG-13	101 min	74	$0.7M
Princess Kaiulani	2009	PG	97 min	18	$0.9M
Splice	2009	R	104 min	74	$17.0M
The City of Your Final Destination	2009	PG-13	117 min	38	$0.5M
Solitary Man	2009	R	90 min	81	$4.4M
Mother and Child	2009	R	125 min	79	$1.1M
The Maiden Heist	2009	PG-13	90 min	0	$0.5M
Middle Men	2009	R	105 min	40	$0.7M
Get Low	2009	PG-13	103 min	84	$9.2M
Leaves of Grass	2009	R	105 min	59	$68.0k
Like Dandelion Dust	2009	PG-13	100 min	80	$0.4M
World's Greatest Dad	2009	R	99 min	89	$0.2M
Case 39	2009	R	109 min	22	$13.2M
Waking Sleeping Beauty	2009	PG	86 min	71	$33.1k
The Other Woman	2009	R	102 min	39	$20.6k
Chain Letter	2009	R	96 min	23	$0.1M
Oy Vey! My Son Is Gay!!	2009	PG-13	90 min	0	$87.2k
I Love You Phillip Morris	2009	R	98 min	72	$2.0M
Down for Life	2009	R	92 min	0	$39.6k
(Untitled)	2009	R	96 min	65	$0.2M
The Mighty Macs	2009	G	99 min	46	$1.9M
Tanner Hall	2009	R	96 min	12	$5.0k
I'm Not Jesus Mommy	2010	R	89 min	0	$5.3k
Immigration Tango	2010	R	92 min	7	$23.8k
Leonie	2010	PG-13	102 min	42	$53.7k
Passion Play	2010	R	94 min	3	$2.1k
Smash His Camera	2010	PG-13	87 min	80	$2.4k
Dumbstruck	2010	PG	85 min	71	$15.0k
Crazy on the Outside	2010	PG-13	96 min	8	$64.4k
Leap Year	2010	PG	100 min	21	$25.9M
The Book of Eli	2010	R	118 min	48	$94.3M
The Spy Next Door	2010	PG	94 min	12	$24.3M
Tooth Fairy	2010	PG	101 min	18	$58.6M
Extraordinary Measures	2010	PG	106 min	28	$11.9M
Legion	2010	R	100 min	19	$40.2M
The Tillman Story	2010	R	94 min	93	$0.8M
The Dry Land	2010	R	92 min	61	$7.4k
8: The Mormon Proposition	2010	R	80 min	63	$99.9k
Edge of Darkness	2010	R	117 min	56	$43.3M
Preacher's Kid	2010	PG-13	110 min	50	$0.4M
When in Rome	2010	PG-13	91 min	17	$32.6M
Dear John	2010	PG-13	108 min	29	$79.6M
From Paris with Love	2010	R	92 min	37	$24.0M
Percy Jackson & the Olympians: The Lightning Thief	2010	PG	118 min	49	$86.7M
Valentine's Day	2010	PG-13	125 min	18	$110.0M
The Wolfman	2010	R	103 min	34	$61.9M
Shutter Island	2010	R	138 min	68	$125.0M
Blood Done Sign My Name	2010	PG-13	128 min	50	$82.7k
Cop Out	2010	R	107 min	19	$44.0M
The Crazies	2010	R	101 min	71	$38.2M
"Lebanon, Pa."	2010	PG-13	100 min	50	$44.7k
Alice in Wonderland	2010	PG	108 min	51	$319.3M
She's Out of My League	2010	R	104 min	58	$28.7M
Remember Me	2010	PG-13	113 min	27	$18.2M
Our Family Wedding	2010	PG-13	103 min	13	$18.6M
Green Zone	2010	R	115 min	53	$33.1M
Elektra Luxx	2010	R	100 min	28	$10.8k
The Runaways	2010	R	106 min	68	$2.0M
The Bounty Hunter	2010	PG-13	110 min	13	$56.0M
Diary of a Wimpy Kid	2010	PG	94 min	53	$64.0M
Repo Men	2010	R	111 min	22	$13.2M
Frozen	2010	R	93 min	62	$0.1M
Hot Tub Time Machine	2010	R	101 min	63	$48.9M
How to Train Your Dragon	2010	PG	98 min	98	$217.4M
Greenberg	2010	R	107 min	75	$2.3M
The Last Song	2010	PG	107 min	20	$42.4M
Meet Monica Velour	2010	R	98 min	48	$31.6k
Why Did I Get Married Too?	2010	PG-13	121 min	26	$48.5M
Clash of the Titans	2010	PG-13	106 min	28	$163.2M
Date Night	2010	PG-13	88 min	67	$98.7M
Letters to God	2010	PG	110 min	25	$1.1M
The Extraordinary Adventures of Adèle Blanc-Sec	2010	PG	107 min	83	$0.1M
Death at a Funeral	2010	R	92 min	41	$16.0M
Kick-Ass	2010	R	117 min	76	$20.0M
Redemption Road	2010	PG-13	95 min	57	$25.8k
The Losers	2010	PG-13	97 min	49	$23.0M
The Back-up Plan	2010	PG-13	106 min	18	$37.5M
Every Day	2010	R	93 min	33	$9.9k
Furry Vengeance	2010	PG	92 min	8	$16.0M
A Nightmare on Elm Street	2010	R	95 min	15	$62.0M
Iron Man 2	2010	PG-13	124 min	72	$312.1M
Just Wright	2010	PG	100 min	45	$21.5M
Letters to Juliet	2010	PG	105 min	40	$53.0M
Robin Hood	2010	PG-13	140 min	43	$105.2M
MacGruber	2010	R	90 min	47	$8.0M
Shrek Forever After	2010	PG	93 min	58	$238.3M
The Romantics	2010	PG-13	95 min	15	$0.1M
Sex and the City 2	2010	R	146 min	15	$95.3M
Prince of Persia: The Sands of Time	2010	PG-13	116 min	36	$90.8M
Get Him to the Greek	2010	R	109 min	73	$60.9M
Marmaduke	2010	PG	87 min	9	$33.6M
Killers	2010	PG-13	100 min	11	$47.0M
The Killer Inside Me	2010	R	109 min	55	$0.2M
The A-Team	2010	PG-13	117 min	47	$77.2M
The Karate Kid	2010	PG	140 min	66	$176.6M
Please Give	2010	R	90 min	86	$4.0M
Toy Story 3	2010	G	103 min	99	$415.0M
Jonah Hex	2010	PG-13	81 min	12	$10.5M
Knight and Day	2010	PG-13	109 min	52	$76.4M
Grown Ups	2010	PG-13	102 min	10	$162.0M
The Twilight Saga: Eclipse	2010	PG-13	124 min	49	$300.5M
The Last Airbender	2010	PG	103 min	6	$131.6M
Joan Rivers: A Piece of Work	2010	R	84 min	91	$2.9M
Despicable Me	2010	PG	95 min	81	$251.5M
Predators	2010	R	107 min	64	$52.0M
The Sorcerer's Apprentice	2010	PG	109 min	41	$63.1M
Cyrus	2010	R	91 min	80	$7.5M
Inception	2010	PG-13	148 min	86	$292.6M
Winter's Bone	2010	R	100 min	94	$6.5M
Standing Ovation	2010	PG	105 min	6	$0.5M
Salt	2010	PG-13	100 min	62	$118.3M
Ramona and Beezus	2010	G	103 min	70	$26.2M
Cats & Dogs: The Revenge of Kitty Galore	2010	PG	82 min	14	$43.6M
Dinner for Schmucks	2010	PG-13	114 min	42	$73.0M
Charlie St. Cloud	2010	PG-13	99 min	27	$31.1M
The Kids Are All Right	2010	R	106 min	93	$20.8M
Step Up 3D	2010	PG-13	107 min	46	$42.4M
Restrepo	2010	R	93 min	96	$1.3M
The Other Guys	2010	PG-13	107 min	79	$119.2M
The Wildest Dream	2010	PG	94 min	76	$0.9M
Twelve	2010	R	93 min	3	$0.2M
Scott Pilgrim vs. the World	2010	PG-13	112 min	82	$31.5M
The Expendables	2010	R	103 min	41	$103.0M
Eat Pray Love	2010	PG-13	133 min	36	$80.6M
Vampires Suck	2010	PG-13	82 min	5	$36.7M
Piranha 3D	2010	R	88 min	73	$25.0M
The Switch	2010	PG-13	101 min	51	$27.8M
Lottery Ticket	2010	PG-13	99 min	34	$24.7M
Nanny McPhee Returns	2010	PG	109 min	76	$29.0M
The Last Exorcism	2010	PG-13	87 min	72	$41.0M
Takers	2010	PG-13	107 min	28	$57.7M
Howl	2010	R	84 min	63	$0.6M
The American	2010	R	105 min	66	$35.6M
Freakonomics	2010	PG-13	85 min	65	$0.1M
Machete	2010	R	105 min	72	$26.6M
Going the Distance	2010	R	102 min	53	$17.8M
Legendary	2010	PG-13	107 min	17	$0.2M
Flipped	2010	PG	90 min	55	$1.8M
Resident Evil: Afterlife	2010	R	97 min	23	$60.1M
I'm Still Here	2010	R	108 min	53	$0.4M
Easy A	2010	PG-13	92 min	85	$58.4M
Alpha and Omega	2010	PG	88 min	16	$25.1M
The Town	2010	R	125 min	93	$92.2M
Legend of the Guardians: The Owls of Ga'Hoole	2010	PG	97 min	50	$55.7M
Wall Street: Money Never Sleeps	2010	PG-13	133 min	55	$52.5M
You Again	2010	PG	105 min	17	$25.7M
The Virginity Hit	2010	R	86 min	29	$0.5M
The Social Network	2010	PG-13	120 min	96	$96.9M
